,Unnamed: 0,Id,Title,Published_Date,Description,Tags,Views,Likes,Dislikes,Comments,Date,Time,LikestoViews,CommentstoViews,DislikestoViews,Combined_Metric
10,10,czcYqlvHn5Q,"Ομιλία - Πανελλαδική Σύσκεψη Στελεχών ""ΝΕΑ ΑΡΙΣΤΕΡΑ"" | 12.01.2024",2024-01-12 18:32:07+00:00,Πανελλαδική σύσκεψη στελεχών της Νέα Αριστερά,[],2188.0,58.0,0.0,6.0,2024-01-12,18:32:07,0.026508226691042046,0.002742230347349177,0.0,1000.3000000000001
11,11,xXGZ4BVL_04,"Συνέντευξη στην ""ΕΡΤ1 "" | 11.01.24",2024-01-11 20:49:48+00:00,📺 Συνέντευξη στην ΕΡΤ και στον δημοσιογράφο Απόστολο Μαγγηριάδη,[],1034.0,23.0,0.0,1.0,2024-01-11,20:49:48,0.022243713733075435,0.0009671179883945841,0.0,471.25
12,12,XwfIlvdkKGc,"Συνάντηση με τον Πρέσβη της Παλαιστινιακής  Αρχής στην Αθήνα, Γιούσεφ Ντόρκχομ | 10.01.2024",2024-01-10 15:31:54+00:00,"Βρεθήκαμε σήμερα εδώ στην πρεσβεία της Παλαιστινιακής Αρχής  για να ενημερωθούμε από τον κ. Πρέσβη για την κατάσταση που επικρατεί σήμερα στην Λωρίδα της Γάζας και  στην Παλαιστίνη συνολικότερα, αλλά βεβαίως και για να εκφράσουμε  την συμπαράσταση και την αλληλεγγύη μας στον δοκιμαζόμενο παλαιστινιακό λαό. 

Η καρδιά της ανθρωπότητας ματώνει σήμερα στην Γάζα. Οι εικόνες που βλέπουμε από τις καταστροφές, από  τις δολοφονίες χιλιάδων αμάχων είναι εικόνες ντροπής για όλη την ανθρωπότητα.

 Σε ότι μας αφορά, ως Νέα Αριστερά, πέρα από την εκδήλωση της συμπαράστασης και της αλληλεγγύης μας, θέλουμε να είμαστε και χρήσιμοι και θέλουμε να πάρουμε και πρωτοβουλίες.  
Γι' αυτό, όπως ανακοίνωσα και στον κ. Πρέσβη, θα καταθέσουμε θεσμικά αίτημα στον Πρόεδρο της Βουλής, έτσι ώστε  να προσκληθεί επισήμως στη χώρα μας και να μιλήσει  στο ελληνικό Κοινοβούλιο ο Πρόεδρος της Παλαιστινιακής Αρχής, κ. Μαχμούντ Αμπάς.",[],213.0,12.0,0.0,0.0,2024-01-10,15:31:54,0.056338028169014086,0.0,0.0,98.85000000000001
13,13,AxVrNVXtT_M,"Συνέντευξη στον τ/στ ""ΣΚΑI"" | 09.01.2024",2024-01-09 10:33:31+00:00,"📺 Συνέντευξη στην εκπομπή Αταίριαστοι του τ/στ ΣΚΑΪ ΤV  και στους δημοσιογράφους Γιάννη Ντσούνο και Χρήστο Κούτρα


#Βουλη #Θεσσαλία #νεααριστερα",[],726.0,14.0,0.0,0.0,2024-01-09,10:33:31,0.01928374655647383,0.0,0.0,330.2
14,14,djV-O8B-1xw,"Δήλωση on camera του Προέδρου της Κ.Ο. της Νέας Αριστεράς, Αλέξη |08.01.2024",2024-01-08 14:30:07+00:00,"🛑«Το παρόν της Θεσσαλίας απαιτεί άμεση αποκατάσταση για τους πληγέντες. Το μέλλον της Θεσσαλίας απαιτεί ολιστικό σχέδιο ανασυγκρότησης» 

➡Την περασμένη Τρίτη 2 Ιανουαρίου επισκέφτηκα  την περιοχή της Θεσσαλίας και ενημερώθηκα από τους πλημμυροπαθείς για την τραγική κατάσταση που βιώνουν. 

➡ Όπως δεσμεύτηκα απέναντί τους, σήμερα  κατέθεσα επίκαιρη ερώτηση προς τον Πρωθυπουργό. Ο κ. Μητσοτάκης οφείλει να απαντήσει σε δύο κρίσιμα ζητήματα. Πρώτον,  σε ποια φάση βρίσκεται η υλοποίηση των μέτρων ανακούφισης των πληγέντων  και δεύτερον, ποιο είναι το ολιστικό στρατηγικό σχέδιο  που απαιτείται, έτσι ώστε η περιοχή να μην ξαναζήσει αντίστοιχες καταστροφές στο άμεσο μέλλον. Παρά την επικοινωνιακή προπαγάνδα  της κυβέρνησης, η πραγματικότητα είναι ότι το επιτελικό κράτος έχει καταρρεύσει.  Και οι πολίτες της Θεσσαλίας έχουν αφεθεί αβοήθητοι  να προσπαθούν μόνοι τους να ξαναστήσουν τη ζωή τους. 

❗ Η @neaaristera  θα είναι η φωνή τους στο Κοινοβούλιο.  Τόσο για τα αναγκαία μέτρα αποκατάστασης όσο   και με τις προτάσεις της  για ένα βιώσιμο, κοινωνικό και παραγωγικό μέλλον της περιοχής τους.",[],215.0,11.0,0.0,0.0,2024-01-08,14:30:07,0.05116279069767442,0.0,0.0,99.5
15,15,DxcXBdYaJ9M,"Συνέντευξη στον τ/στ ""Θεσσαλία TV"" |03.01.2024",2024-01-03 18:18:04+00:00,"📺 Η συνέντευξή μου στο τ/στ ""Θεσσαλία Τηλεόραση"" και στον δημοσιογράφο  Γιάννη Κολλάτο",[],206.0,10.0,0.0,0.0,2024-01-03,18:18:04,0.04854368932038835,0.0,0.0,95.2
16,16,gTqjwfmEnIc,🛑Ξεκινάμε από τη #Θεσσαλία | 02/01/2024,2024-01-03 11:32:46+00:00,"🛑Ξεκινάμε από τη #Θεσσαλία  για να ακούσουμε από τους ίδιους τους ανθρώπους την πραγματικότητα που βιώνουν. 
➡Τέσσερις μήνες μετά το επιτελικό κράτος έχει καταρρεύσει και έχει εγκαταλείψει τους πληγέντες 
➡Η κλιματική κρίση είναι εδώ αλλά δεν μπορεί να αντιμετωπίζεται από την πολιτεία ως δικαιολογία για να μη θωρακίσει την #Θεσσαλία  
❗Προχωράμε σε παρεμβάσεις σε κοινοβουλευτικό και πολιτικό επίπεδο
❗Η Νέα Αριστερά   θα γίνει η φωνή των απλών  ανθρώπων σε αυτές τις εξαιρετικά δύσκολα συνθήκες.
#Θεσσαλία #νεααριστερα",[],69.0,9.0,0.0,0.0,2024-01-03,11:32:46,0.13043478260869565,0.0,0.0,33.3
17,17,7mszfNqkNrk,🛑Ξεκινάμε από τη #Θεσσαλία  | 02/01/2024,2024-01-03 11:32:20+00:00,"➡Την περιφέρεια που δοκιμάστηκε από την κλιματική κρίση και δοκιμάζεται από την κυβερνητική αδιαφορία. 
➡Ακούμε τους πολίτες. Φέρνουμε τη φωνή τους στη #Βουλη . 
 ❗Φτιάχνουμε μαζί τους το σχέδιο της επόμενης μέρας: για την αποκατάσταση των καταστροφών, για να μείνουν στον τόπο τους, για να γίνει η Θεσσαλία το υπόδειγμα ενός νέου παραγωγικού μοντέλου. 
❗Για μια κοινωνία θωρακισμένη από τις προκλήσεις της κλιματικής κρίσης. Για μια κοινωνία ασφαλειας και δικαιοσύνης.
 #νεααριστερα",[],286.0,27.0,0.0,1.0,2024-01-03,11:32:20,0.0944055944055944,0.0034965034965034965,0.0,135.65
18,18,eSce941FDY0,🛑Το πρωτοχρονιάτικο μήνυμα για το 2024 του Προέδρου της Κ.Ο. της Νέας Αριστεράς | 31/12/2023,2024-01-03 11:20:52+00:00,"➡Tο 2023 ήταν μια δύσκολη χρονιά, για την Ελλάδα και για τον κόσμο. Πόλεμος στην Γάζα, άνοδος  της άκρας δεξιάς στην Ευρώπη, ακρίβεια και φυσικές καταστροφές στη χώρα μας. 
➡Η ανασφάλεια μετατρέπεται σε νέα κανονικότητα. Σε λίγες ώρες το 2023 θα ανήκει στο παρελθόν, όχι όμως και οι προκλήσεις τις οποίες μας κληροδοτεί. 
❗Η Νέα Αριστερά θα παλέψει, ώστε να μετατρέψουμε τις δυσκολίες σε δυνατότητες για μια καλύτερη ζωή. Για την ειρήνη, για την κοινωνική δικαιοσύνη, για την κλιματική δικαιοσύνη. 
⏰ Το 2024 είναι και η χρονιά που συμπληρώνονται τα 50 χρόνια  της Τρίτης Ελληνικής Δημοκρατίας.
Ήρθε η ώρα για την επανεκκίνηση της δημοκρατίας μας. 
🎉 Καλή χρονιά, λοιπόν, σε όλες και όλους. 
Με υγεία, με αισιοδοξία και με την ελπίδα  που όλοι μας έχουμε  ανάγκη.
#νεααριστερα #2024newyear",[],101.0,8.0,0.0,0.0,2024-01-03,11:20:52,0.07920792079207921,0.0,0.0,47.45
19,19,EZLeUaLKMfk,Επίσκεψη στην Κοινωνική Δομή Παροχής Συσσιτίου Δήμου Κερατσινίου-Δραπετσώνας | 29.12.2023,2023-12-29 10:50:25+00:00,Επίσκεψη του Προέδρου της Κ.Ο. της Νέας Αριστεράς στην Κοινωνική Δομή Παροχής Συσσιτίου Δήμου Κερατσινίου-Δραπετσώνας | 29.12.2023,[],187.0,9.0,0.0,0.0,2023-12-29,10:50:25,0.0481283422459893,0.0,0.0,86.4
20,20,9ghTfRpOApg,"Συνέντευξη στον ρ/στ ""Flash Fm"" - Γιάννης Μαγκριώτης| 27.12.2023",2023-12-27 11:33:03+00:00,"Συνέντευξη στον ρ/στ ""Flash Fm"" και στον δημοσιογράφο Γιάννη Μαγκριώτη",[],528.0,27.0,0.0,0.0,2023-12-27,11:33:03,0.05113636363636364,0.0,0.0,244.35
21,21,AVfl3d0RaXw,"Συνέντευξη στον ρ/στ ""Real fm"" | 22.12.2023",2023-12-22 11:24:44+00:00,📻Συνέντευξη στονRealfm97.88 και στη δημοσιογράφο Κάτια Μακρή,[],654.0,23.0,0.0,0.0,2023-12-22,11:24:44,0.035168195718654434,0.0,0.0,300.05
22,22,_aATd3pFNXk,Ομιλία στην Βουλή - «Κύρωση του Κρατικού Προϋπολογισμού οικονομικού έτους 2024» | 17.12.2023,2023-12-17 13:02:54+00:00,📌 Η Ομιλία μου στην ολομέλεια της #Βουλής κατά τη συζήτηση και ψήφιση επί του σχεδίου νόμου «Κύρωση του Κρατικού Προϋπολογισμού οικονομικού έτους 2024».,[],1180.0,44.0,0.0,9.0,2023-12-17,13:02:54,0.03728813559322034,0.007627118644067797,0.0,543.8
23,23,0VJ_MKKNi8g,"Συνέντευξη στο ""Mega TV"" | 13.12.23",2023-12-13 16:29:40+00:00,📺 Συνέντευξη στην εκπομπή LIVE NEWS του Mega TV,[],1178.0,30.0,0.0,0.0,2023-12-13,16:29:40,0.025466893039049237,0.0,0.0,537.6
24,24,aDnJ_IBeiJE,Τοποθέτηση στο FORUM του Οικονομικού Ταχυδρόμου| 12.12.2023,2023-12-12 19:23:32+00:00,Συζήτηση στο FORUM OT με τους δημοσιογράφους Νίκο Φιλιππίδη και Ελένη Στεργίου,[],1161.0,40.0,0.0,1.0,2023-12-12,19:23:32,0.034453057708871665,0.0008613264427217916,0.0,532.6500000000001
25,25,pi7ZucxfDx0,"Συνέντευξη στον τ/στ ""MEGA TV"" | 10.12.2023",2023-12-10 06:30:51+00:00,"Συνέντευξη στην εκπομπή ""Mega Σαββατοκύριακο"" και στους Στέλλα Γκαντώνα & Ντίνο Σιωμόπουλο",[],2395.0,35.0,0.0,0.0,2023-12-10,06:30:51,0.014613778705636743,0.0,0.0,1086.5
26,26,RPsbAs3eVj8,Ομιλία στην Ολομέλεια της Βουλής | 08.12.23,2023-12-08 13:44:11+00:00,"Ομιλία του Προέδρου της Κ.Ο. ΝΕΑ ΑΡΙΣΤΕΡΑ στην Ολομέλεια της Βουλής, Αλέξη Χαρίτση, κατά την συζήτηση του νομοσχεδίου του Υπουργείου Κλιματικής Κρίσης και Πολιτικής Προστασίας",[],767.0,23.0,0.0,0.0,2023-12-08,13:44:11,0.02998696219035202,0.0,0.0,350.90000000000003
27,27,NLYmt4xHQ7Q,"Συνέντευξη στον ιστότοπο ""News 24/7"" |06.12.2023",2023-12-07 13:44:13+00:00,"📺 Η συνέντευξή μου στο ιστότοπο ""News 24/7"" και στον δημοσιογράφο Γεράσιμο Λιβιτσάνο",[],776.0,30.0,0.0,0.0,2023-12-07,13:44:13,0.03865979381443299,0.0,0.0,356.7
28,28,jXVfOOiqJMM,"Συνέντευξη στον τ/στ ""Attica TV"" |06.12.2023",2023-12-06 21:56:47+00:00,📺 Η συνέντευξή μου στο τ/στAttica TV και στον δημοσιογράφο  Giorgos Melingoniss,[],566.0,15.0,0.0,0.0,2023-12-06,21:56:47,0.026501766784452298,0.0,0.0,258.45000000000005
29,29,EWel1IQMoxI,Ομιλία στην Ολομέλεια της Βουλής | 06.12.23,2023-12-06 18:06:26+00:00,"Ομιλία του Προέδρου της Κ.Ο. ΝΕΑ ΑΡΙΣΤΕΡΑ στην Ολομέλεια της Βουλής, Αλέξη Χαρίτση, κατά την συζήτηση του νομοσχεδίου για το φορολογικό.",[],901.0,33.0,0.0,0.0,2023-12-06,18:06:26,0.03662597114317425,0.0,0.0,413.7
30,30,a3yEqNlHWCs,"Συνέντευξη στον τ/στ ""ΜΕΣΟΓΕΙΟΣ TV"" |05.12.2023",2023-12-05 19:55:14+00:00,📺 Η συνέντευξή μου στο κεντρικό δελτίο ειδήσεων του τηλεοπτικού σταθμούMesogeios TV και στον δημοσιογράφο Thanos Tziouveliss,[],415.0,17.0,0.0,0.0,2023-12-05,19:55:14,0.04096385542168675,0.0,0.0,191.0
31,31,Nobx-P3H0yY,"Συνέντευξη στον ρ/στ ""ΠΑΡΑΠΟΛΙΤΙΚΑ fm"" | 05.12.2023",2023-12-05 10:43:13+00:00,📻Συνέντευξη στον ρ/στ parapolitikaFM και στην δημοσιογράφο Νίκη Λυμπεράκη,[],280.0,13.0,0.0,0.0,2023-12-05,10:43:13,0.04642857142857143,0.0,0.0,129.25
32,32,rynZPGNSHlk,Παρουσίαση της νέας Κοινοβουλευτικής Ομάδας | 04.12.2023,2023-12-05 08:26:27+00:00,Ανοιχτή εκδήλωση για την παρουσίαση της νέας Κοινοβουλευτικής Ομάδας των 11 ανεξάρτητων Βουλευτών/τριων της Αριστεράς .,[],2203.0,57.0,0.0,0.0,2023-12-05,08:26:27,0.025873808443032227,0.0,0.0,1005.6
33,33,gSV876Z1z2A,"Συνέντευξη στον τ/στ ""ΣΚΑI"" | 04.12.2023",2023-12-04 09:25:41+00:00,"📺 Συνέντευξη στην εκπομπή Αταίριαστοι και στους δημοσιογράφους Γιάννη Ντσούνο και Χρήστο Κούτρα

ΣΚΑΪ Τηλεόραση",[],1223.0,23.0,0.0,0.0,2023-12-04,09:25:41,0.018806214227309895,0.0,0.0,556.1
34,34,IiVTbuBmrKE,"Συνέντευξη στον τ/στ ""ANT1"" | 03.12.2023",2023-12-03 07:47:37+00:00,"▶️ Συνέντευξη στην εκπομπή του ΑΝΤ1 ""ΣΤΟΥΝΤΙΟ ΜΕ ΘΕΑ""  και στην Φαίη Μαυραγάνη",[],4847.0,54.0,0.0,0.0,2023-12-03,07:47:37,0.011140911904270683,0.0,0.0,2194.65
35,35,Z2FQOB1T9B0,"Συνέντευξη στην ""ΕΡΤ 1"" | 01.12.2023",2023-12-01 08:09:40+00:00,Συνέντευξη στην εκπομπή «Συνδέσεις» της ΕΡΤ και στους δημοσιογράφους Κώστας Παπαχλιμίντζος και Δέσποινα Κονταράκη,[],695.0,16.0,0.0,0.0,2023-12-01,08:09:40,0.02302158273381295,0.0,0.0,316.75
36,36,qrF9B6lzRLE,"Συνέντευξη στο ""Kontra Channel"" | 29.11.2023",2023-11-29 22:01:24+00:00,➡Συνέντευξη στον τ/στ KONTRA TV με την δημοσιογράφο Νατάσα Γιάμαλη,[],705.0,19.0,0.0,0.0,2023-11-29,22:01:24,0.02695035460992908,0.0,0.0,322.0
37,37,AdUC1nQsXuk,"Συνέντευξη στο ""Action24 "" | 29.11.2023",2023-11-29 07:24:20+00:00,Ζωντανά η συνέντευξή μου στο Action24 και στους δημοσιογάφους Γιώργος Κακούσης & Άννα Λιβαθινού,[],1591.0,25.0,0.0,0.0,2023-11-29,07:24:20,0.01571338780641106,0.0,0.0,722.2
38,38,khY0YTvblmM,"Συνέντευξη στο ""BEST TV"" | 28.11.23",2023-11-28 19:22:27+00:00,Συνέντευξη στον τηλεοπτικό σταθμό best-tv.gr και στον δημοσιογράφο Themis Kanellopoulos,[],267.0,12.0,0.0,0.0,2023-11-28,19:22:27,0.0449438202247191,0.0,0.0,123.15
39,39,R2t3ZHHYF30,"Συνέντευξη στον ρ/στ ""ΣΚΑΙ 100,3"" | 28.11.2023",2023-11-28 09:27:59+00:00,📻Συνέντευξη στον ΣΚΑΪ 100.3 και στον δημοσιογράφο Παύλο Τσίμα,[],411.0,9.0,0.0,0.0,2023-11-28,09:27:59,0.021897810218978103,0.0,0.0,187.20000000000002
40,40,aWbvVIIBcAo,"Συνέντευξη στον ρ/στ ""ΠΑΡΑΠΟΛΙΤΙΚΑ fm"" | 28.11.2023",2023-11-28 08:14:11+00:00,📻Συνέντευξη στον ρ/στ  ΠΑΡΑΠΟΛΙΤΙΚΑ fm και στους δημοσιογράφους Σωτήρη Ξενάκη και Βασίλη Σκουρή,[],186.0,9.0,0.0,0.0,2023-11-28,08:14:11,0.04838709677419355,0.0,0.0,85.95
41,41,_fMOFvu3V28,"Συνέντευξη στον ρ/στ ""Real fm"" | 27.11.2023",2023-11-27 11:03:16+00:00,📻Συνέντευξη στον Real FM 97.8 και στη δημοσιογράφο Κάτια Μακρή,[],596.0,11.0,0.0,0.0,2023-11-27,11:03:16,0.018456375838926176,0.0,0.0,270.95
42,42,bJGD8O41euI,"Συνέντευξη στον τ/στ ""MEGA TV"" | 27.11.2023",2023-11-27 06:26:50+00:00,Ιορδάνης Χασαπόπουλος - Ανθή Βούλγαρη,[],1003.0,15.0,0.0,0.0,2023-11-27,06:26:50,0.014955134596211365,0.0,0.0,455.1
43,43,KTLIcDfE0_I,"Συνέντευξη στον ""OPEN TV"" | 24.11.2023",2023-11-24 17:21:25+00:00,📺 Συνέντευξη στο Κεντρικό Δελτίο τoυ OPEN TV και στον δημοσιογράφο Εύα Αντωνοπούλου,[],1979.0,20.0,0.0,0.0,2023-11-24,17:21:25,0.01010611419909045,0.0,0.0,895.5500000000001
44,44,5Jn17mY25aM,"Συνέντευξη στον ""ΑΝΤ1 TV"" | 23.11.2023",2023-11-23 17:17:22+00:00,📺 Συνέντευξη στο Κεντρικό Δελτίο τoυΑΝΤ1 και στο δημοσιογράφο Νίκο Χατζηνικολάου,[],7054.0,51.0,0.0,0.0,2023-11-23,17:17:22,0.0072299404593138645,0.0,0.0,3187.05
45,45,zYh53ADXfbA,Ομιλία στην Ολομέλεια της Βουλής | 09.11.23,2023-11-09 17:17:01+00:00,📌 Ομιλία στην Ολομέλεια της #Βουλής κατά την συζήτηση για το νομοσχεδίου του Υπουργείο Ανάπτυξης.,[],138.0,6.0,0.0,0.0,2023-11-09,17:17:01,0.043478260869565216,0.0,0.0,63.6
46,46,cmIuDzF7k7k,Ομιλία στην Ολομέλεια της Βουλής | 02.11.23,2023-11-02 08:14:26+00:00,"📌 Ομιλία στην Ολομέλεια της #Βουλής κατά την συζήτηση σ/ν του Υπουργείου Εσωτερικών «Νέο σύστημα επιλογής διοικήσεων φορέων του δημοσίου τομέα, ενίσχυση της αποτελεσματικότητάς τους και λοιπές διατάξεις».",[],91.0,7.0,0.0,0.0,2023-11-02,08:14:26,0.07692307692307693,0.0,0.0,42.7
47,47,DEt6uG7Miyc,"""Συζήτηση επίκαιρης ερώτησης"" | 23.10.2023",2023-10-23 14:35:44+00:00,➡ Ομιλία στην - Επίκαιρη Ερώτησή μου προς τον Υπουργό Αγροτικής Ανάπτυξης για την έλλειψη εργατών γης,[],111.0,3.0,0.0,0.0,2023-10-23,14:35:44,0.02702702702702703,0.0,0.0,50.7
48,48,35MWLmHiJLU,"Συνέντευξη στο τ/στ ""ΕΡΤ1 "" | 22.09.23",2023-09-22 16:20:07+00:00,📺 Συνέντευξη στο Κεντρικό Δελτίο της ΕΡΤ1 και στο δημοσιογράφο Απόστολο Μαγγηριάδη,[],82.0,1.0,0.0,0.0,2023-09-22,16:20:07,0.012195121951219513,0.0,0.0,37.15
49,49,rfDWWyI4Uw8,"Συνέντευξη στο ""Mega TV"" | 22.09.23",2023-09-22 15:38:28+00:00,📺 Συνέντευξη στην εκπομπή LIVE NEWS του Mega TV και στoν δημοσιογράφο Νίκο Ευαγγελάτο,[],176.0,3.0,0.0,0.0,2023-09-22,15:38:28,0.017045454545454544,0.0,0.0,79.95
50,50,Dir8UcKr7AQ,"Συνέντευξη στο τ/στ  ""Open TV "" | 21.09.23",2023-09-22 15:37:39+00:00,"🟥 Έχουμε την ευθύνη απέναντι στην ελληνική κοινωνία να καταθέσουμε μία ολοκληρωμένη πρόταση για μια εναλλακτική προοδευτική διακυβέρνηση, η οποία θα είναι πειστική και ριζοσπαστική. Ώστε να πείσουμε τους πολίτες ότι τα πράγματα στην χώρα μπορούν να πάνε διαφορετικά. 

⭕ Είναι πολύ σημαντικό να παρουσιαστούν αναλυτικά και τεκμηριωμένα τα προγράμματα των υποψήφιων προέδρων. Αυτό το έχει παρουσιάσει η Έφη Αχτσιόγλου -Έφη Αχτσιόγλου και αφορά ένα συγκροτημένο και πολιτικό σχέδιο πολιτικής και οργανωτικής ανασυγκρότησης. Από τον Στέφανο Κασσελάκη δεν το έχουμε δει ακόμα. 

⭕ Ο ΣΥ.ΡΙΖ.Α. πρέπει να προχωρήσει ενωμένος την επόμενη ημέρα των εκλογών αλλά πάνω σε με μια στέρεη πολιτική βάση. Έχουμε δώσει μάχες για την ενότητα στο παρελθόν, θα δώσουμε και στο μέλλον. Η ενότητα δεν είναι μια αφηρημένη έννοια, αφορά το μέλλον της παράταξής μας αλλά και το μέλλον της ελληνικής κοινωνίας. 

📺 Συνέντευξη στο Κεντρικό Δελτίο του TV Open και στη δημοσιογράφο Εύα Αντωνοπούλου",[],84.0,0.0,0.0,0.0,2023-09-22,15:37:39,0.0,0.0,0.0,37.800000000000004
