,Id,Title,Published_Date,Description,Tags,Views,Likes,Dislikes,Comments
10,czcYqlvHn5Q,"Ομιλία - Πανελλαδική Σύσκεψη Στελεχών ""ΝΕΑ ΑΡΙΣΤΕΡΑ"" | 12.01.2024",2024-01-12T18:32:07Z,Πανελλαδική σύσκεψη στελεχών της Νέα Αριστερά,[],2188.0,58.0,0.0,6.0
11,xXGZ4BVL_04,"Συνέντευξη στην ""ΕΡΤ1 "" | 11.01.24",2024-01-11T20:49:48Z,📺 Συνέντευξη στην ΕΡΤ και στον δημοσιογράφο Απόστολο Μαγγηριάδη,[],1034.0,23.0,0.0,1.0
12,XwfIlvdkKGc,"Συνάντηση με τον Πρέσβη της Παλαιστινιακής  Αρχής στην Αθήνα, Γιούσεφ Ντόρκχομ | 10.01.2024",2024-01-10T15:31:54Z,"Βρεθήκαμε σήμερα εδώ στην πρεσβεία της Παλαιστινιακής Αρχής  για να ενημερωθούμε από τον κ. Πρέσβη για την κατάσταση που επικρατεί σήμερα στην Λωρίδα της Γάζας και  στην Παλαιστίνη συνολικότερα, αλλά βεβαίως και για να εκφράσουμε  την συμπαράσταση και την αλληλεγγύη μας στον δοκιμαζόμενο παλαιστινιακό λαό. 

Η καρδιά της ανθρωπότητας ματώνει σήμερα στην Γάζα. Οι εικόνες που βλέπουμε από τις καταστροφές, από  τις δολοφονίες χιλιάδων αμάχων είναι εικόνες ντροπής για όλη την ανθρωπότητα.

 Σε ότι μας αφορά, ως Νέα Αριστερά, πέρα από την εκδήλωση της συμπαράστασης και της αλληλεγγύης μας, θέλουμε να είμαστε και χρήσιμοι και θέλουμε να πάρουμε και πρωτοβουλίες.  
Γι' αυτό, όπως ανακοίνωσα και στον κ. Πρέσβη, θα καταθέσουμε θεσμικά αίτημα στον Πρόεδρο της Βουλής, έτσι ώστε  να προσκληθεί επισήμως στη χώρα μας και να μιλήσει  στο ελληνικό Κοινοβούλιο ο Πρόεδρος της Παλαιστινιακής Αρχής, κ. Μαχμούντ Αμπάς.",[],213.0,12.0,0.0,0.0
13,AxVrNVXtT_M,"Συνέντευξη στον τ/στ ""ΣΚΑI"" | 09.01.2024",2024-01-09T10:33:31Z,"📺 Συνέντευξη στην εκπομπή Αταίριαστοι του τ/στ ΣΚΑΪ ΤV  και στους δημοσιογράφους Γιάννη Ντσούνο και Χρήστο Κούτρα


#Βουλη #Θεσσαλία #νεααριστερα",[],726.0,14.0,0.0,0.0
14,djV-O8B-1xw,"Δήλωση on camera του Προέδρου της Κ.Ο. της Νέας Αριστεράς, Αλέξη |08.01.2024",2024-01-08T14:30:07Z,"🛑«Το παρόν της Θεσσαλίας απαιτεί άμεση αποκατάσταση για τους πληγέντες. Το μέλλον της Θεσσαλίας απαιτεί ολιστικό σχέδιο ανασυγκρότησης» 

➡Την περασμένη Τρίτη 2 Ιανουαρίου επισκέφτηκα  την περιοχή της Θεσσαλίας και ενημερώθηκα από τους πλημμυροπαθείς για την τραγική κατάσταση που βιώνουν. 

➡ Όπως δεσμεύτηκα απέναντί τους, σήμερα  κατέθεσα επίκαιρη ερώτηση προς τον Πρωθυπουργό. Ο κ. Μητσοτάκης οφείλει να απαντήσει σε δύο κρίσιμα ζητήματα. Πρώτον,  σε ποια φάση βρίσκεται η υλοποίηση των μέτρων ανακούφισης των πληγέντων  και δεύτερον, ποιο είναι το ολιστικό στρατηγικό σχέδιο  που απαιτείται, έτσι ώστε η περιοχή να μην ξαναζήσει αντίστοιχες καταστροφές στο άμεσο μέλλον. Παρά την επικοινωνιακή προπαγάνδα  της κυβέρνησης, η πραγματικότητα είναι ότι το επιτελικό κράτος έχει καταρρεύσει.  Και οι πολίτες της Θεσσαλίας έχουν αφεθεί αβοήθητοι  να προσπαθούν μόνοι τους να ξαναστήσουν τη ζωή τους. 

❗ Η @neaaristera  θα είναι η φωνή τους στο Κοινοβούλιο.  Τόσο για τα αναγκαία μέτρα αποκατάστασης όσο   και με τις προτάσεις της  για ένα βιώσιμο, κοινωνικό και παραγωγικό μέλλον της περιοχής τους.",[],215.0,11.0,0.0,0.0
15,DxcXBdYaJ9M,"Συνέντευξη στον τ/στ ""Θεσσαλία TV"" |03.01.2024",2024-01-03T18:18:04Z,"📺 Η συνέντευξή μου στο τ/στ ""Θεσσαλία Τηλεόραση"" και στον δημοσιογράφο  Γιάννη Κολλάτο",[],206.0,10.0,0.0,0.0
16,gTqjwfmEnIc,🛑Ξεκινάμε από τη #Θεσσαλία | 02/01/2024,2024-01-03T11:32:46Z,"🛑Ξεκινάμε από τη #Θεσσαλία  για να ακούσουμε από τους ίδιους τους ανθρώπους την πραγματικότητα που βιώνουν. 
➡Τέσσερις μήνες μετά το επιτελικό κράτος έχει καταρρεύσει και έχει εγκαταλείψει τους πληγέντες 
➡Η κλιματική κρίση είναι εδώ αλλά δεν μπορεί να αντιμετωπίζεται από την πολιτεία ως δικαιολογία για να μη θωρακίσει την #Θεσσαλία  
❗Προχωράμε σε παρεμβάσεις σε κοινοβουλευτικό και πολιτικό επίπεδο
❗Η Νέα Αριστερά   θα γίνει η φωνή των απλών  ανθρώπων σε αυτές τις εξαιρετικά δύσκολα συνθήκες.
#Θεσσαλία #νεααριστερα",[],69.0,9.0,0.0,0.0
17,7mszfNqkNrk,🛑Ξεκινάμε από τη #Θεσσαλία  | 02/01/2024,2024-01-03T11:32:20Z,"➡Την περιφέρεια που δοκιμάστηκε από την κλιματική κρίση και δοκιμάζεται από την κυβερνητική αδιαφορία. 
➡Ακούμε τους πολίτες. Φέρνουμε τη φωνή τους στη #Βουλη . 
 ❗Φτιάχνουμε μαζί τους το σχέδιο της επόμενης μέρας: για την αποκατάσταση των καταστροφών, για να μείνουν στον τόπο τους, για να γίνει η Θεσσαλία το υπόδειγμα ενός νέου παραγωγικού μοντέλου. 
❗Για μια κοινωνία θωρακισμένη από τις προκλήσεις της κλιματικής κρίσης. Για μια κοινωνία ασφαλειας και δικαιοσύνης.
 #νεααριστερα",[],286.0,27.0,0.0,1.0
18,eSce941FDY0,🛑Το πρωτοχρονιάτικο μήνυμα για το 2024 του Προέδρου της Κ.Ο. της Νέας Αριστεράς | 31/12/2023,2024-01-03T11:20:52Z,"➡Tο 2023 ήταν μια δύσκολη χρονιά, για την Ελλάδα και για τον κόσμο. Πόλεμος στην Γάζα, άνοδος  της άκρας δεξιάς στην Ευρώπη, ακρίβεια και φυσικές καταστροφές στη χώρα μας. 
➡Η ανασφάλεια μετατρέπεται σε νέα κανονικότητα. Σε λίγες ώρες το 2023 θα ανήκει στο παρελθόν, όχι όμως και οι προκλήσεις τις οποίες μας κληροδοτεί. 
❗Η Νέα Αριστερά θα παλέψει, ώστε να μετατρέψουμε τις δυσκολίες σε δυνατότητες για μια καλύτερη ζωή. Για την ειρήνη, για την κοινωνική δικαιοσύνη, για την κλιματική δικαιοσύνη. 
⏰ Το 2024 είναι και η χρονιά που συμπληρώνονται τα 50 χρόνια  της Τρίτης Ελληνικής Δημοκρατίας.
Ήρθε η ώρα για την επανεκκίνηση της δημοκρατίας μας. 
🎉 Καλή χρονιά, λοιπόν, σε όλες και όλους. 
Με υγεία, με αισιοδοξία και με την ελπίδα  που όλοι μας έχουμε  ανάγκη.
#νεααριστερα #2024newyear",[],101.0,8.0,0.0,0.0
19,EZLeUaLKMfk,Επίσκεψη στην Κοινωνική Δομή Παροχής Συσσιτίου Δήμου Κερατσινίου-Δραπετσώνας | 29.12.2023,2023-12-29T10:50:25Z,Επίσκεψη του Προέδρου της Κ.Ο. της Νέας Αριστεράς στην Κοινωνική Δομή Παροχής Συσσιτίου Δήμου Κερατσινίου-Δραπετσώνας | 29.12.2023,[],187.0,9.0,0.0,0.0
20,9ghTfRpOApg,"Συνέντευξη στον ρ/στ ""Flash Fm"" - Γιάννης Μαγκριώτης| 27.12.2023",2023-12-27T11:33:03Z,"Συνέντευξη στον ρ/στ ""Flash Fm"" και στον δημοσιογράφο Γιάννη Μαγκριώτη",[],528.0,27.0,0.0,0.0
21,AVfl3d0RaXw,"Συνέντευξη στον ρ/στ ""Real fm"" | 22.12.2023",2023-12-22T11:24:44Z,📻Συνέντευξη στονRealfm97.88 και στη δημοσιογράφο Κάτια Μακρή,[],654.0,23.0,0.0,0.0
22,_aATd3pFNXk,Ομιλία στην Βουλή - «Κύρωση του Κρατικού Προϋπολογισμού οικονομικού έτους 2024» | 17.12.2023,2023-12-17T13:02:54Z,📌 Η Ομιλία μου στην ολομέλεια της #Βουλής κατά τη συζήτηση και ψήφιση επί του σχεδίου νόμου «Κύρωση του Κρατικού Προϋπολογισμού οικονομικού έτους 2024».,[],1180.0,44.0,0.0,9.0
23,0VJ_MKKNi8g,"Συνέντευξη στο ""Mega TV"" | 13.12.23",2023-12-13T16:29:40Z,📺 Συνέντευξη στην εκπομπή LIVE NEWS του Mega TV,[],1178.0,30.0,0.0,0.0
24,aDnJ_IBeiJE,Τοποθέτηση στο FORUM του Οικονομικού Ταχυδρόμου| 12.12.2023,2023-12-12T19:23:32Z,Συζήτηση στο FORUM OT με τους δημοσιογράφους Νίκο Φιλιππίδη και Ελένη Στεργίου,[],1161.0,40.0,0.0,1.0
25,pi7ZucxfDx0,"Συνέντευξη στον τ/στ ""MEGA TV"" | 10.12.2023",2023-12-10T06:30:51Z,"Συνέντευξη στην εκπομπή ""Mega Σαββατοκύριακο"" και στους Στέλλα Γκαντώνα & Ντίνο Σιωμόπουλο",[],2395.0,35.0,0.0,0.0
26,RPsbAs3eVj8,Ομιλία στην Ολομέλεια της Βουλής | 08.12.23,2023-12-08T13:44:11Z,"Ομιλία του Προέδρου της Κ.Ο. ΝΕΑ ΑΡΙΣΤΕΡΑ στην Ολομέλεια της Βουλής, Αλέξη Χαρίτση, κατά την συζήτηση του νομοσχεδίου του Υπουργείου Κλιματικής Κρίσης και Πολιτικής Προστασίας",[],767.0,23.0,0.0,0.0
27,NLYmt4xHQ7Q,"Συνέντευξη στον ιστότοπο ""News 24/7"" |06.12.2023",2023-12-07T13:44:13Z,"📺 Η συνέντευξή μου στο ιστότοπο ""News 24/7"" και στον δημοσιογράφο Γεράσιμο Λιβιτσάνο",[],776.0,30.0,0.0,0.0
28,jXVfOOiqJMM,"Συνέντευξη στον τ/στ ""Attica TV"" |06.12.2023",2023-12-06T21:56:47Z,📺 Η συνέντευξή μου στο τ/στAttica TV και στον δημοσιογράφο  Giorgos Melingoniss,[],566.0,15.0,0.0,0.0
29,EWel1IQMoxI,Ομιλία στην Ολομέλεια της Βουλής | 06.12.23,2023-12-06T18:06:26Z,"Ομιλία του Προέδρου της Κ.Ο. ΝΕΑ ΑΡΙΣΤΕΡΑ στην Ολομέλεια της Βουλής, Αλέξη Χαρίτση, κατά την συζήτηση του νομοσχεδίου για το φορολογικό.",[],901.0,33.0,0.0,0.0
30,a3yEqNlHWCs,"Συνέντευξη στον τ/στ ""ΜΕΣΟΓΕΙΟΣ TV"" |05.12.2023",2023-12-05T19:55:14Z,📺 Η συνέντευξή μου στο κεντρικό δελτίο ειδήσεων του τηλεοπτικού σταθμούMesogeios TV και στον δημοσιογράφο Thanos Tziouveliss,[],415.0,17.0,0.0,0.0
31,Nobx-P3H0yY,"Συνέντευξη στον ρ/στ ""ΠΑΡΑΠΟΛΙΤΙΚΑ fm"" | 05.12.2023",2023-12-05T10:43:13Z,📻Συνέντευξη στον ρ/στ parapolitikaFM και στην δημοσιογράφο Νίκη Λυμπεράκη,[],280.0,13.0,0.0,0.0
32,rynZPGNSHlk,Παρουσίαση της νέας Κοινοβουλευτικής Ομάδας | 04.12.2023,2023-12-05T08:26:27Z,Ανοιχτή εκδήλωση για την παρουσίαση της νέας Κοινοβουλευτικής Ομάδας των 11 ανεξάρτητων Βουλευτών/τριων της Αριστεράς .,[],2203.0,57.0,0.0,0.0
33,gSV876Z1z2A,"Συνέντευξη στον τ/στ ""ΣΚΑI"" | 04.12.2023",2023-12-04T09:25:41Z,"📺 Συνέντευξη στην εκπομπή Αταίριαστοι και στους δημοσιογράφους Γιάννη Ντσούνο και Χρήστο Κούτρα

ΣΚΑΪ Τηλεόραση",[],1223.0,23.0,0.0,0.0
34,IiVTbuBmrKE,"Συνέντευξη στον τ/στ ""ANT1"" | 03.12.2023",2023-12-03T07:47:37Z,"▶️ Συνέντευξη στην εκπομπή του ΑΝΤ1 ""ΣΤΟΥΝΤΙΟ ΜΕ ΘΕΑ""  και στην Φαίη Μαυραγάνη",[],4847.0,54.0,0.0,0.0
35,Z2FQOB1T9B0,"Συνέντευξη στην ""ΕΡΤ 1"" | 01.12.2023",2023-12-01T08:09:40Z,Συνέντευξη στην εκπομπή «Συνδέσεις» της ΕΡΤ και στους δημοσιογράφους Κώστας Παπαχλιμίντζος και Δέσποινα Κονταράκη,[],695.0,16.0,0.0,0.0
36,qrF9B6lzRLE,"Συνέντευξη στο ""Kontra Channel"" | 29.11.2023",2023-11-29T22:01:24Z,➡Συνέντευξη στον τ/στ KONTRA TV με την δημοσιογράφο Νατάσα Γιάμαλη,[],705.0,19.0,0.0,0.0
37,AdUC1nQsXuk,"Συνέντευξη στο ""Action24 "" | 29.11.2023",2023-11-29T07:24:20Z,Ζωντανά η συνέντευξή μου στο Action24 και στους δημοσιογάφους Γιώργος Κακούσης & Άννα Λιβαθινού,[],1591.0,25.0,0.0,0.0
38,khY0YTvblmM,"Συνέντευξη στο ""BEST TV"" | 28.11.23",2023-11-28T19:22:27Z,Συνέντευξη στον τηλεοπτικό σταθμό best-tv.gr και στον δημοσιογράφο Themis Kanellopoulos,[],267.0,12.0,0.0,0.0
39,R2t3ZHHYF30,"Συνέντευξη στον ρ/στ ""ΣΚΑΙ 100,3"" | 28.11.2023",2023-11-28T09:27:59Z,📻Συνέντευξη στον ΣΚΑΪ 100.3 και στον δημοσιογράφο Παύλο Τσίμα,[],411.0,9.0,0.0,0.0
40,aWbvVIIBcAo,"Συνέντευξη στον ρ/στ ""ΠΑΡΑΠΟΛΙΤΙΚΑ fm"" | 28.11.2023",2023-11-28T08:14:11Z,📻Συνέντευξη στον ρ/στ  ΠΑΡΑΠΟΛΙΤΙΚΑ fm και στους δημοσιογράφους Σωτήρη Ξενάκη και Βασίλη Σκουρή,[],186.0,9.0,0.0,0.0
41,_fMOFvu3V28,"Συνέντευξη στον ρ/στ ""Real fm"" | 27.11.2023",2023-11-27T11:03:16Z,📻Συνέντευξη στον Real FM 97.8 και στη δημοσιογράφο Κάτια Μακρή,[],596.0,11.0,0.0,0.0
42,bJGD8O41euI,"Συνέντευξη στον τ/στ ""MEGA TV"" | 27.11.2023",2023-11-27T06:26:50Z,Ιορδάνης Χασαπόπουλος - Ανθή Βούλγαρη,[],1003.0,15.0,0.0,0.0
43,KTLIcDfE0_I,"Συνέντευξη στον ""OPEN TV"" | 24.11.2023",2023-11-24T17:21:25Z,📺 Συνέντευξη στο Κεντρικό Δελτίο τoυ OPEN TV και στον δημοσιογράφο Εύα Αντωνοπούλου,[],1979.0,20.0,0.0,0.0
44,5Jn17mY25aM,"Συνέντευξη στον ""ΑΝΤ1 TV"" | 23.11.2023",2023-11-23T17:17:22Z,📺 Συνέντευξη στο Κεντρικό Δελτίο τoυΑΝΤ1 και στο δημοσιογράφο Νίκο Χατζηνικολάου,[],7054.0,51.0,0.0,0.0
45,zYh53ADXfbA,Ομιλία στην Ολομέλεια της Βουλής | 09.11.23,2023-11-09T17:17:01Z,📌 Ομιλία στην Ολομέλεια της #Βουλής κατά την συζήτηση για το νομοσχεδίου του Υπουργείο Ανάπτυξης.,[],138.0,6.0,0.0,0.0
46,cmIuDzF7k7k,Ομιλία στην Ολομέλεια της Βουλής | 02.11.23,2023-11-02T08:14:26Z,"📌 Ομιλία στην Ολομέλεια της #Βουλής κατά την συζήτηση σ/ν του Υπουργείου Εσωτερικών «Νέο σύστημα επιλογής διοικήσεων φορέων του δημοσίου τομέα, ενίσχυση της αποτελεσματικότητάς τους και λοιπές διατάξεις».",[],91.0,7.0,0.0,0.0
47,DEt6uG7Miyc,"""Συζήτηση επίκαιρης ερώτησης"" | 23.10.2023",2023-10-23T14:35:44Z,➡ Ομιλία στην - Επίκαιρη Ερώτησή μου προς τον Υπουργό Αγροτικής Ανάπτυξης για την έλλειψη εργατών γης,[],111.0,3.0,0.0,0.0
48,35MWLmHiJLU,"Συνέντευξη στο τ/στ ""ΕΡΤ1 "" | 22.09.23",2023-09-22T16:20:07Z,📺 Συνέντευξη στο Κεντρικό Δελτίο της ΕΡΤ1 και στο δημοσιογράφο Απόστολο Μαγγηριάδη,[],82.0,1.0,0.0,0.0
49,rfDWWyI4Uw8,"Συνέντευξη στο ""Mega TV"" | 22.09.23",2023-09-22T15:38:28Z,📺 Συνέντευξη στην εκπομπή LIVE NEWS του Mega TV και στoν δημοσιογράφο Νίκο Ευαγγελάτο,[],176.0,3.0,0.0,0.0
50,Dir8UcKr7AQ,"Συνέντευξη στο τ/στ  ""Open TV "" | 21.09.23",2023-09-22T15:37:39Z,"🟥 Έχουμε την ευθύνη απέναντι στην ελληνική κοινωνία να καταθέσουμε μία ολοκληρωμένη πρόταση για μια εναλλακτική προοδευτική διακυβέρνηση, η οποία θα είναι πειστική και ριζοσπαστική. Ώστε να πείσουμε τους πολίτες ότι τα πράγματα στην χώρα μπορούν να πάνε διαφορετικά. 

⭕ Είναι πολύ σημαντικό να παρουσιαστούν αναλυτικά και τεκμηριωμένα τα προγράμματα των υποψήφιων προέδρων. Αυτό το έχει παρουσιάσει η Έφη Αχτσιόγλου -Έφη Αχτσιόγλου και αφορά ένα συγκροτημένο και πολιτικό σχέδιο πολιτικής και οργανωτικής ανασυγκρότησης. Από τον Στέφανο Κασσελάκη δεν το έχουμε δει ακόμα. 

⭕ Ο ΣΥ.ΡΙΖ.Α. πρέπει να προχωρήσει ενωμένος την επόμενη ημέρα των εκλογών αλλά πάνω σε με μια στέρεη πολιτική βάση. Έχουμε δώσει μάχες για την ενότητα στο παρελθόν, θα δώσουμε και στο μέλλον. Η ενότητα δεν είναι μια αφηρημένη έννοια, αφορά το μέλλον της παράταξής μας αλλά και το μέλλον της ελληνικής κοινωνίας. 

📺 Συνέντευξη στο Κεντρικό Δελτίο του TV Open και στη δημοσιογράφο Εύα Αντωνοπούλου",[],84.0,0.0,0.0,0.0
51,XrsjfCpCezA,"Συνέντευξη στον τ/στ ""ΑΝΤ1 TV"" |21.09.2023",2023-09-21T07:00:22Z,Συνέντευξη στην εκπομπή Καλημέρα Ελλάδα ANT1 και στους δημοσιογράφους Maria Anastasopoulou & Γιώργο Γρηγοριάδη,[],97.0,0.0,0.0,0.0
52,30-7OfQWKOI,"Συνέντευξη στο ""ATTICA TV"" | 20.09.2023",2023-09-20T20:36:26Z,Συνέντευξη στο Attica TV και στον δημοσιογράφο Giorgos Melingonis,[],71.0,3.0,0.0,0.0
53,tzfJyPlWKBw,"Συνέντευξη στον ρ/στ ""Real fm"" | 20.09.2023",2023-09-20T09:01:36Z,📻Συνέντευξη στον Real FM 97.8 και στους δημοσιογράφους Νίκο Χατζηνικολάου & Αντώνη Δελλατόλα,[],91.0,3.0,0.0,0.0
54,RL9hb-h4ICk,"Συνέντευξη στον τ/στ ""ΣΚΑΙ"" |20.09.2023",2023-09-20T08:20:23Z,Συνέντευξη στον τηλεοπτικό σταθμό ΣΚΑΪ ΤV και στους δημοσιογράφους Γιάννη Ντσούνο και Χρήστο Κούτρα,[],90.0,2.0,0.0,0.0
55,eR9d55crtg8,"Συνέντευξη στο ""BEST TV"" | 15.09.23",2023-09-15T18:29:39Z,Συνέντευξη στον τηλεοπτικό σταθμό best-tv.gr και στον δημοσιογράφο Themis Kanellopoulos,[],64.0,1.0,0.0,0.0
56,N7MPegSqrpg,"Συνέντευξη στον ρ/στ ""Στο Κόκκινο 105,5"" | 13.09.2023",2023-09-13T12:01:34Z,"🎤Συνέντευξη Στο Κόκκινο 105,5 και στην δημοσιογράφο Κατερίνα Ακριβοπούλου",[],59.0,1.0,0.0,0.0
57,L3oLjUfj8mc,Περιοδεία σήμερα στον Έβρο | 12.09.2023,2023-09-13T09:24:49Z,"Η εικόνα αποκαρδιωτική. Ασύλληπτη οικολογική καταστροφή με μεγάλες επιπτώσεις στην παραγωγική δραστηριότητα της περιοχής.
Η πυρκαγιά είναι ενα αποφασιστικό πλήγμα σε μια περιοχή που έτσι κι αλλιώς ένιωθε, και ήταν, ξεχασμένη από την ελληνική πολιτεία. Οι κάτοικοι του Έβρου νιώθουν ότι πια δεν μπορούν να έχουν κανένα μέλλον στον τόπο τους. Και υπάρχουν ευθύνες για αυτό. Πολιτικές ευθύνες.
Είναι επιτακτική ανάγκη η άμεση αποζημίωση των πληγέντων. 
Εξίσου κρίσιμη όμως είναι και η εκπόνηση ενός Αναπτυξιακού Προγράμματος Ειδικού Σκοπού για την Θράκη και ειδικότερα για τον Έβρο. 
Όπως αυτό που ξεκινήσαμε το 2018 για τα νησιά του Β. Αιγαίου (και οδήγησε στην καθιέρωση του Μεταφορικού Ισοδύναμου) αλλά εγκαταλείφθηκε στη συνέχεια. Όπως αυτό που παρουσιάσαμε το 2021 στους παραγωγικούς φορείς της Θράκης σε εκδήλωση στην Ξάνθη.
Το αναπτυξιακό μέλλον της περιοχής δεν μπορεί να είναι τα ποικιλώνυμα passes που για μία ακόμη φορά εξηγγειλε χθες ο κ. Μητσοτάκη σε μια προσπάθεια να κατευνασει τις δίκαιες απαιτήσεις και τις εύλογες αγωνίες των ανθρώπων της περιοχής. 
Η κρίσιμη και ευαίσθητη περιοχή του Έβρου και της Θράκης συνολικότερα χρειάζεται μια ολοκληρωμένη αναπτυξιακή στρατηγική με φορολογικές διευκολύνσεις, κίνητρα για ίδρυση νέων και μετεγκατάσταση υφιστάμενων επιχειρήσεων, ολοκλήρωση βασικών δημόσιων υποδομών.
Κυρίως όμως απαιτείται πολιτική βούληση για την αξιοποίηση των νέων χρηματοδοτικών δυνατοτήτων (Ταμείο Ανάκαμψης και Ανθεκτικότητας) για ουσιαστική περιφερειακή, αποκεντρωμένη ανάπτυξη. Βούληση που απουσιάζει πλήρως από την κυβέρνηση Μητσοτάκη.",[],26.0,2.0,0.0,0.0
58,ofqSHxKzDsA,"Συνέντευξη στον ρ/στ ""Στο Κόκκινο 105,5"" | 08.09.2023",2023-09-08T11:59:29Z,"🎤ΣυνέντευξηΣτο Κόκκινο 105,55 και στον δημοσιογράφο  Κώστα Σαββόπουλο",[],52.0,0.0,0.0,0.0
